VRF name,Prefix,RT values
maxis_MC_AUP,10.231.30.128/26,"65535:60960, 65535:60962, 65535:60964, 65535:60966"
maxis_MC_AUP,10.231.30.192/29,"65535:60960, 65535:60962, 65535:60964, 65535:60966"
maxis_MC_AUP,19.0.1.32/30,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,19.10.81.3/32,"65535:11250, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,19.10.81.4/32,"65535:11250, 65535:60920, 65535:60922, 65535:66381"
maxis_MC_AUP,172.20.45.0/27,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.20.46.0/27,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.20.76.0/27,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.20.228.0/27,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.20.228.128/27,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.23.190.239/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.27.0.2/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.27.0.4/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.27.0.6/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.27.0.8/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.27.0.10/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
maxis_MC_AUP,172.27.0.24/32,"65535:60921, 65535:60963, 65535:65860, 65535:65861"
