+++ KPGUER01-ASR9K with via 'cli': executing command 'show ip interface brief' +++
show ip interface brief
Wed Jun  5 20:07:44.448 MYT

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether130.1250           10.159.235.33   Up              Up       UMobile_IuCS_CP
Bundle-Ether130.1251           10.159.235.37   Up              Up       UMobile_IuCS_UP
Bundle-Ether130.1252           10.159.235.41   Up              Up       UMobile_IuPS_CP
Bundle-Ether130.1253           10.159.235.45   Up              Up       UMobile_IuPS_UP
Bundle-Ether130.1254           10.159.235.57   Up              Up       UMobile_OAM_MOCN
Bundle-Ether130.1255           10.159.235.49   Up              Up       UMobile_S1C_MOCN
Bundle-Ether130.1256           10.159.235.53   Up              Up       UMobile_S1U_MOCN
Bundle-Ether130.1270           10.215.249.238  Up              Up       VOBB_TMY
Bundle-Ether130.1271           10.215.249.234  Up              Up       HSI_TMY 
Bundle-Ether130.1275           10.159.235.61   Up              Up       Umobile_Gb_MOCN
Bundle-Ether130.1301           10.151.66.42    Up              Up       Digi_OLNOS_SIP
Bundle-Ether130.1302           10.151.66.50    Up              Up       Digi_BGF_Media
Bundle-Ether130.1303           10.151.66.21    Up              Up       Digi_OLNOS_SPS
Bundle-Ether130.1501           10.151.66.42    Up              Up       Umobile_GnGp_DR
Bundle-Ether130.1541           10.151.82.17    Up              Up       Maxis_OLNOS_SPS
Bundle-Ether130.1701           10.151.81.173   Up              Up       Redtone_OLNOS_SIP
Bundle-Ether130.1702           10.151.81.181   Up              Up       Redtone_OLNOS_Media
Bundle-Ether130.1901           10.151.66.146   Up              Up       Webe_SBC_SIP
Bundle-Ether130.1902           10.151.66.138   Up              Up       Webe_SBC_Media
Bundle-Ether130.2101           10.151.66.153   Up              Up       Redtone_Gb
Bundle-Ether130.2102           10.151.66.201   Up              Up       Redtone_A_UP
Bundle-Ether130.2103           10.151.66.205   Up              Up       Redtone_A_CP
Bundle-Ether130.2104           10.151.66.165   Up              Up       Redtone_IuPS_UP
Bundle-Ether130.2105           10.151.66.169   Up              Up       Redtone_IuPS_CP
Bundle-Ether130.2106           10.151.66.157   Up              Up       Redtone_IuCS_UP
Bundle-Ether130.2107           10.151.66.161   Up              Up       Redtone_IuCS_CP
Bundle-Ether130.2108           10.151.82.225   Up              Up       Redtone_MC_S1
Bundle-Ether130.2301           10.151.66.210   Up              Up       TM_SBC_SIP
Bundle-Ether130.2302           10.151.66.214   Up              Up       TM_SBC_Media
Bundle-Ether130.2303           10.151.82.102   Up              Up       TM_SPS  
Bundle-Ether130.2310           10.151.82.74    Up              Up       YTL_SBC_SIP
Bundle-Ether130.2311           10.151.82.82    Up              Up       YTL_SBC_Media
Bundle-Ether130.2312           10.151.82.90    Up              Up       YTL_SPS 
Bundle-Ether130.2501           10.151.66.129   Up              Up       ENT_MTRADE_AUDIOCODE
Bundle-Ether130.2505           10.151.66.82    Up              Up       TIME_SBC_SIP_Media
Bundle-Ether130.2601           10.151.82.186   Up              Up       Digi_MC_ACP
Bundle-Ether130.2603           10.151.82.194   Up              Up       Digi_MC_AUP
Bundle-Ether130.2605           10.151.82.202   Up              Up       Digi_MC_Gb
Bundle-Ether130.2607           10.151.82.210   Shutdown        Down     Digi_MC_S1
Loopback0                      10.159.255.5    Up              Up       default 
